Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Death Stranding,2019-11-08,"Sony Interactive Entertainment, Kojima Productions",3.9,"From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner.
             

              In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and save humanity from impending annihilation.",Adventure, RPG,1600,1600,9400,4800,2400
Marvel's Spider-Man: Miles Morales,2020-11-12,"Insomniac Games, Sony Interactive Entertainment",3.9,The latest adventure in the Spider-Man universe will build on and expand ‘Marvel’s Spider-Man’ through an all-new story. Players will experience the rise of Miles Morales as he masters new powers to become his own Spider-Man.,Adventure, Brawler,1600,1600,9900,2800,2800
Dark Souls: Remastered,2018-05-23,"Bandai Namco Entertainment, QLOC",4.3,Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements as well as an expanded online mode.,Adventure, RPG,1400,1400,11000,2600,1600
EarthBound,1994-08-27,"Nintendo, Creatures Inc.",4.2,"A turn-based JRPG and sequel to then-Japan-only Earthbound Beginnings (1989) in which Ness, a young boy living in a land based on the USA, leaves home to go on an adventure through strange locations, get to know quirky characters and defeat an unknowable alien threat called Giygas while facing up to the realities of growing up and becoming familiar with the real world.",Adventure, RPG,1900,1900,9000,4800,1800
Castlevania: Symphony of the Night,1997-03-20,"Konami, Konami Computer Entertainment Tokyo",4.4,"A seminal 2D metroidvania in which after the events of Castlevania: Rondo of Blood (1993), a man named Alucard arrives at Dracula's castle after it rises from the rubble, and seeks to defeat the evil contained within it once and for all by exploring, fighting its inhabitants and collecting the various weapons and abilities hidden in its depths.",Adventure, Platform,1900,1900,9100,3400,1700
Super Metroid,1994-03-19,"Nintendo R&D1, Nintendo",4.3,"The Space Pirates, merciless agents of the evil Mother Brain, have stolen the last Metroid from a research station, and once again Mother Brain threatens the safety of the galaxy! Samus Aran must don her awesome array of high-tech weaponry to retrieve the deadly Metroid hidden deep within the cave-riddled planet Zebes. Super Metroid features excellent graphics, with a huge variety of enemies and worlds to explore. The side-view action will be familiar to many players, only now there are new weapons and items, including the Grappling Beam, which allows Samus to swing across large chasms, and the X-Ray Scope, which reveals secret passages.",Adventure, Platform,2200,2200,11000,3000,907
Super Mario Bros.,1985-09-13,"Nintendo, Nintendo R&D4",3.5,"A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.",Adventure, Platform,1500,1500,18000,733,237
The Legend of Zelda: Majora's Mask,2000-04-27,"Nintendo, Nintendo EAD",4.4,"The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety of items, optional quests, and mini-games. It also includes a time system that spans three days, and this cycle must be reset periodically to progress through the game.",Adventure,,2200,2200,13000,3900,1800
Star Wars Jedi: Fallen Order,2019-11-15,"Respawn Entertainment, Electronic Arts",3.7,"Star Wars Jedi: Fallen Order is a narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode III: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors.",Adventure,,1400,1400,13000,3700,1300
The Last of Us,2013-06-14,"Naughty Dog, Sony Computer Entertainment",4.2,"A third person shooter/stealth/survival hybrid, in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors.",Adventure, Shooter,2000,2000,17000,2000,1400
Terraria,2011-05-16,"Re-Logic, Headup Games",4.0,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",Adventure, Indie,1300,1300,18000,2200,593
Resident Evil 7: Biohazard,2017-01-24,Capcom,3.9,"Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode.",Adventure, Shooter,1800,1800,13000,3100,1300
Metal Gear Solid V: The Phantom Pain,2015-09-01,"Konami, Kojima Productions",3.8,"Metal Gear Solid V: The Phantom Pain is the final game in the Metal Gear series. It is the sequel to Metal Gear Solid V: Ground Zeroes released the year before and a prequel to the original Metal Gear. The game has a complex story with long cut-scene sequences, but there are fewer and they are shorter compared to earlier Metal Gear Solid titles. Most of the gameplay mechanics introduced in Ground Zeroes are carried over: it is still an action game and stealth oriented but replaces the linear corridor design from most earlier titles with large open world environments that offer the player unrestricted freedom for the approach. The world has now a real-time day and night cycle and various weather effects that influence enemy behaviour, visibility and sound. Sabotaging or destroying certain structures can also influence other parts of the map.",Adventure, Shooter,1500,1500,14000,4500,1200
Overwatch,2016-05-24,"Blizzard Entertainment, Square Enix",3.2,"Join the fight for the future in the world of Overwatch and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter.",Shooter, Strategy,957,957,19000,411,214
Half-Life 2,2004-11-16,"Sierra Entertainment, Valve",4.2,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.
             

              NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.",Shooter,,1700,1700,15000,3500,1000
Fire Emblem: Three Houses,2019-07-25,"Intelligent Systems Co., Ltd., Nintendo",4.0,"Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?",Adventure, RPG,1700,1700,12000,3500,1500
